Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
4/3/2025,KSPA Embilipitiya,1,"KSPA Embilipitiya	",9696,135021,8.15 - 15 (28 x 9 - 15) (7.00)  FAGA MASTER BLACK STD,,,,,,59.8,,14,,837.2
45750,KSPA Embilipitiya,1,"KSPA Embilipitiya	",9696,119021,6.50 - 10 (5.00)  FAGA MASTER BLACK STD,,,,,,34.2,,8,,273.6
