date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs
2023-07-11,KOREA,0,KOR-NTC-12-7,636 7,100311,4.00-8,NEXEN ,BLACK,STD,3,APPROVED NEXEN COMPOUND,10.82,0.0169,,              -  ,              -  
2023-07-11,KOREA,0,KOR-NTC-12-7,636 7,101301,15x4 1/2-8,NEXEN ALLPRO,BLACK,STD,3,APPROVED NEXEN COMPOUND,9.2,0.0158,,              -  ,              -  
2023-07-11,KOREA,0,KOR-NTC-12-7,636 7,102301,5.00-8,NEXEN ALLPRO,BLACK,STD,3,APPROVED NEXEN COMPOUND,16.03,0.0244,,              -  ,              -  
2023-07-11,KOREA,0,KOR-NTC-12-7,636 7,104301,18x7-8,NEXEN ALLPRO,BLACK,STD,4.33,APPROVED NEXEN COMPOUND,19.83,0.03,150,4.5,"2,974.50"
2023-07-11,KOREA,0,KOR-NTC-12-7,636 7,118301,200/50-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,23.67,0.0404,50,2.02,"1,183.50"
2023-07-11,KOREA,0,KOR-NTC-12-7,636 7,111301,6.00-9,NEXEN ALLPRO,BLACK,STD,4,APPROVED NEXEN COMPOUND,25.6,0.0379,,              -  ,              -  
2023-07-11,KOREA,0,KOR-NTC-12-7,636 7,112301,21x8-9,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,33.1,0.049,,              -  ,              -  
2023-07-11,KOREA,0,KOR-NTC-12-7,636 7,119301,6.50-10,NEXEN ALLPRO,BLACK,STD,5,APPROVED NEXEN COMPOUND,35.5,0.0529,,              -  ,              -  
2023-07-11,KOREA,0,KOR-NTC-12-7,636 7,120301,23x9-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,46.4,0.0682,,              -  ,              -  
2023-07-11,KOREA,0,KOR-NTC-12-7,636 7,125301,7.00-12,NEXEN ALLPRO,BLACK,STD,5,APPROVED NEXEN COMPOUND,45.6,0.071,80,5.68,"3,648.00"
2023-07-11,KOREA,0,KOR-NTC-12-7,636 7,126301,23x10-12,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,49.9,0.0798,30,2.39,"1,497.00"
2023-07-11,KOREA,0,KOR-NTC-12-7,636 7,135301,8.15-15,NEXEN ALLPRO,BLACK,STD,7,APPROVED NEXEN COMPOUND,58.5,0.1011,,              -  ,              -  
2023-07-11,KOREA,0,KOR-NTC-12-7,636 7,141301,7.00-15,NEXEN ALLPRO,BLACK,STD,5.5,APPROVED NEXEN COMPOUND,56.35,0.0922,30,2.77,"1,690.50"
2023-07-11,KOREA,0,KOR-NTC-12-7,636 7,171301,7.50-16,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,71.72,0.1162,15,1.74,"1,075.80"
2023-07-11,KOREA,0,KOR-NTC-12-7,636 7,138301,8.25-15,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,85.05,0.1315,50,6.58,"4,252.50"
2023-07-11,KOREA,0,KOR-NTC-12-7,636 7,139301,3.00-15,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,107.75,0.1661,10,1.66,"1,077.50"
2023-07-11,KOREA,0,KOR-NTC-12-7,636 7,101302,15x4 1/2-8,NEXEN ALLPRO,BLACK,CLIP,3,APPROVED NEXEN COMPOUND,9.42,0.0158,,              -  ,              -  
