date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs
,KOREA,R2,KOR-NTC-12-R2-7,636 7,118301,200/50-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,23.67,0.0404,35,1.41,828.45
,KOREA,R2,KOR-NTC-12-R2-7,636 7,125301,7.00-12,NEXEN ALLPRO,BLACK,STD,5,APPROVED NEXEN COMPOUND,45.6,0.071,80,5.68,"3,648.00"
,KOREA,R2,KOR-NTC-12-R2-7,636 7,126301,23x10-12,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,49.9,0.0798,30,2.39,"1,497.00"
,KOREA,R2,KOR-NTC-12-R2-7,636 7,141301,7.00-15,NEXEN ALLPRO,BLACK,STD,5.5,APPROVED NEXEN COMPOUND,56.35,0.0922,30,2.77,"1,690.50"
,KOREA,R2,KOR-NTC-12-R2-7,636 7,171301,7.50-16,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,71.72,0.1162,15,1.74,"1,075.80"
,KOREA,R2,KOR-NTC-12-R2-7,636 7,138301,8.25-15,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,85.05,0.1315,50,6.58,"4,252.50"
,KOREA,R2,KOR-NTC-12-R2-7,636 7,139301,3.00-15,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,107.75,0.1661,10,1.66,"1,077.50"
,KOREA,R2,KOR-NTC-12-R2-7,636 7,119302,6.50-10,NEXEN ALLPRO,BLACK,CLIP,5,APPROVED NEXEN COMPOUND,35.83,0.0529,89,4.71,"3,188.87"
