"id","prev_serial","serial_number","date","tyre_code","description","qty"
"1044","32505094","032025-05094","2025-03-19","125041","7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK STD","0"
"1045","32505095","032025-05095","2025-03-19","103043","16 x 6 - 8 (4.33) ATIRE RUNNER SOLID NM STD","0"
"1046","32505096","032025-05096","2025-03-19","103043","16 x 6 - 8 (4.33) ATIRE RUNNER SOLID NM STD","0"
"1047","32505097","032025-05097","2025-03-19","104043","18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM STD","0"
"1048","32505098","032025-05098","2025-03-19","104044","18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP","0"
"1049","32505099","032025-05099","2025-03-19","104044","18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP","0"
"1050","32505100","032025-05100","2025-03-19","135041","28 x 9 -15 (7.00) ATIRE RUNNER SOLID BLACK STD","0"
"1051","32505101","032025-05101","2025-03-19","110012","140/55 x 9 (4.00) ACHIEVER PLUS BLACK CLIP","0"
"1052","32505102","032025-05102","2025-03-19","102241","5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD","0"
"1053","32505103","032025-05103","2025-03-19","102241","5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD","0"
"1054","32505104","032025-05104","2025-03-19","712073","16 x 7 x 10 1/2 ATIRE RUNNER BAND NM SM","0"
"1055","32505105","032025-05105","2025-03-19","720071","21 x 8 x 15 ATIRE RUNNER BAND BLACK SM","0"
"1056","32505106","032025-05106","2025-03-19","101044","15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID NM CLIP","0"
"1057","32505107","032025-05107","2025-03-19","101041","15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK STD","0"
"1058","32505108","032025-05108","2025-03-19","101041","15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK STD","0"
"1059","32505109","032025-05109","2025-03-19","111041","6.00 - 9 (4.00) ATIRE RUNNER SOLID BLACK STD","0"
"1060","32505110","032025-05110","2025-03-19","111041","6.00 - 9 (4.00) ATIRE RUNNER SOLID BLACK STD","0"
"1061","32505111","032025-05111","2025-03-19","178044","355/50 - 15 (9.75) ATIRE RUNNER SOLID NM CLIP","0"
"1062","32505112","032025-05112","2025-03-19","738073","28 x 12 x 22 ATIRE RUNNER BAND NM SM","0"
"1063","32505113","032025-05113","2025-03-19","715072","18 x 7 x 12 1/8 ATIRE RUNNER BAND BLACK TR","0"
"1064","32505114","032025-05114","2025-03-19","716072","18 x 8 x 12 1/8 ATIRE RUNNER BAND BLACK TR","0"
